,name1,name2,status,business_number,corp_number
23,ATCO-Kivalliq Services Ltd.,, Active, 756267498RC0001, 9871373
24,ATCO MIDSTREAM NWT LTD.,, Active, Not Available, 3068846
25,ATCO Electric Ltd.,, Active, 100113513RC0001, 0101605
26,ATCO Energy Ltd.,, Active, 808547194RC0001, 9239090
27,ATCO CHEMICAL CORP.,, Active, 864369194RC0001, 3830365
28,ATCO Technology Management Ltd.,, Active, 802859975RC0001, 8961433
29,ATCO Power (Energy) Holdings Ltd.,, Active, 848436093RC0001, 7020601
30,ATCO Holdings Canada Two Ltd.,, Active, 753836949RC0001, 14511522
31,ATCO Power Holdings One Ltd.,, Active, 753617141RC0001, 14511620
32,ATCO-5296 Building and Services Ltd.,, Active, 774379291RC0001, 9711210
33,O2Gold Inc.,, Active, 820904100RC0001, 8173303
34,BANK OF MONTREAL HOLDING INC.,, Active, 873467971RC0003, 13347087
35,THE BANK OF NOVA SCOTIA,, Active, 105195598RC0001, 0950807
36,BCE INC.,BCE INC., Active, 121610299RC0005, 4252292
37,BCE Combustion Inc.,, Active, 765024062RC0001, 12924901
38,BCE Canco Inc.,, Active, 861783769RC0001, 4333039
39,BCE Nexxia International Inc.,, Active, 876879628RC0001, 3551997
40,BOMBARDIER AEROSPACE SERVICES LIMITED,SERVICES BOMBARDIER AÉRONAUTIQUE LIMITÉE, Active, 124581604RC0001, 0343307
41,BOMBARDIER PRODUITS RÉCREATIFS INC.,BOMBARDIER RECREATIONAL PRODUCTS INC., Active, 884939901RC0002, 4209486
42,BOMBARDIER FINANCE INC.-,LA FINANCIERE BOMBARDIER INC., Active, 134209238RC0001, 2846195
43,YORK\BOMBARDIER SERVICES INC.,SERVICES YORK\BOMBARDIER INC., Active, 808504591RC0001, 9240934
44,BOMBARDIER TRANSPORTATION CANADA INC.,BOMBARDIER TRANSPORT CANADA INC., Active, 835347360RC0002, 13611698
45,BOMBARDIER TRANSPORTATION CANADA PARTICIPATION INC.,BOMBARDIER TRANSPORT CANADA PARTICIPATION INC., Active, 835346560RC0001, 4395638
46,Bombardier Transportation (Capital) Canada Inc.,Bombardier Transport (Capital) Canada Inc., Active, 721659688RC0001, 11139444
47,Bombardier Global Pension Asset Management Inc.,Bombardier Gestion Mondiale d’Actifs Retraite Inc., Active, 745830331RC0001, 11911414
