,name1,name2,status,business_number,corp_number
122,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS INC.,CONSEILLERS EN SYSTÈMES D'INFORMATION ET EN GESTION CGI INC., Active, 142172998RC0011, 8303894
123,CGI 3 Contracting Incorporated,, Active, 755315009RC0001, 13659755
124,CGI CONTROLLED GEOPHYSICS INC.,, Active, 121314488RC0001, 2411661
125,COGECO COMMUNICATIONS INC.,, Active, 137316931RC0001, 2807246
126,CONVERGE TECHNOLOGY SOLUTIONS CORP.,, Active, 776884710RC0001, 12572036
127,CORUS ENTERTAINMENT INC.,, Active, 868850140RC0001, 3470652
128,The Descartes Systems Group Inc.,, Active, 871669164RC0007, 12876787
129,DOLLARAMA INC.,, Active, 846965671RC0002, 4537394
130,DOLLARAMA INTERNATIONAL INC.,, Active, 828518241RC0001, 8315248
131,DOLLARAMA GP INC.,, Active, 863038170RC0001, 4270169
132,DUNDEE PRECIOUS METALS INC.,, Active, 889126637RC0001, 1552431
133,ELDORADO GOLD MINES INC.,MINES D'OR ELDORADO INC., Active, 101600427RC0001, 2696746
134,Eldorado Gold Corporation,, Active, 892696386RC0001, 3315827
135,Element Fleet Management Inc.,, Active, 104164223RC0004, 10036994
136,EMERA Brunswick Pipeline Company Ltd.,, Active, 856139928RC0001, 4345134
137,Khalsa Empire Company Inc.,, Active, 780986105RC0001, 13292100
138,Enbridge Quebec LNG Inc.,Enbridge Quebec GNL Inc., Active, 829520345RC0001, 6428916
139,ENBRIDGE PIPELINES INC.,PIPELINES ENBRIDGE INC., Active, 102505641RC0001, 0120596
140,Enbridge Inc.,, Active, 119653384RC0001, 2276020
141,Enbridge Western Access Inc.,, Active, 813334687RC0001, 8187193
142,Enbridge GTM Canada Inc.,, Active, 777102401RC0001, 13346153
143,ENBRIDGE COMMERCIAL SERVICES INC.,, Active, 869336180RC0001, 3662454
144,Enbridge Operational Services Inc.,, Active, 870610987RC0001, 3684253
145,Enbridge US Holdings Inc.,, Active, 832344600RC0001, 7738749
146,Enbridge Frontier Inc.,, Active, 837654714RC0001, 7735057
147,Enbridge Transmission Holdings Inc.,, Active, 806125118RC0001, 7942362
148,ENBRIDGE MANAGEMENT SERVICES INC.,, Active, 865438352RC0002, 11397761
149,Enbridge Atlantic (Holdings) Inc.,, Active, 836253146RC0001, 6404375
150,Enbridge CCS Holdings Inc.,, Active, 716032206RC0001, 14171349
151,Enbridge Energy Distribution Inc.,, Active, 896416948RC0004, 4339631
152,Enbridge Emerging Technology Inc.,, Active, 844685909RC0001, 8031380
153,ENBRIDGE TECHNOLOGY INC.,, Active, 138798814RC0001, 3049019
154,Enbridge (Gateway) Holdings Inc.,, Active, 859553174RC0001, 6325866
155,Enbridge Risk Management Inc.,, Active, 852863349RC0001, 6273866
156,Enbridge (Rabaska) Holdings Inc.,, Active, 858785876RC0001, 6252702
157,ENERPLUS PENSION RESOURCE CORPORATION II,, Active, 133907170RC0001, 2751402
158,Exchange Income Corporation,, Active, 868168717RC0002, 4544889
159,FAIRFAX FINANCIAL HOLDINGS LIMITED,, Active, 101728897RC0001, 0130052
160,FINNING INTERNATIONAL INC.,, Active, 101801561RC0001, 2102480
161,Fortis Auxilium Inc.,, Active, 781101001RC0001, 13288374
162,Fortis Fitness Equipment Inc.,, Active, 816140594RC0001, 9181547
163,FORTIS MED Inc.,, Active, 834209124RC0001, 6658831
164,FORTIS VL INC.,, Active, 803499771RC0001, 8955077
165,Fortis Magna Inc.,, Active, 715122107RC0001, 14194675
166,Fortis Accounting Inc.,, Active, 717974471RC0001, 12268663
167,Fortis Motions Pictures Corp.,, Active, 745574608RC0001, 13792188
168,Fortis Goldcorp Financial Limited,, Active, 772369468RC0001, 12812606
169,Fortis Fitness Inc.,, Active, 850239666RC0001, 7230923
170,FORTIS HEATING AND AIR CONDITIONING INC.,, Active, 720234715RC0001, 11143867
171,Franco-Nevada Corporation,, Active, 839026358RC0002, 4457714
172,FRANCO-NEVADA CANADA HOLDINGS CORP.,, Active, 835504051RC0001, 7293275
173,GEORGE WESTON LIMITED,GEORGE WESTON LIMITÉE, Active, 896283272RC0003, 13192334
174,GILDAN ACTIVEWEAR INC.,LES VÊTEMENTS DE SPORT GILDAN INC., Active, 105188106RC0001, 1691058
175,GREAT-WEST LIFECO INC.,, Active, 102185832RC0001, 0074781
176,Hudbay Minerals Inc.,, Active, 896424843RC0003, 10040339
177,LES SERVICES DE GESTION IAMGOLD INC.,IAMGOLD MANAGEMENT SERVICES INC., Active, 892190059RC0001, 3055299
178,IAMGOLD CORPORATION,, Active, 126412725RC0006, 10256986
179,IGM FINANCIAL INC.,SOCIÉTÉ FINANCIÈRE IGM INC., Active, 102525227RC0001, 0734721
180,Canada Imperial Oil Limited,, Active, 122865850RC0001, 2475995
181,IMPERIAL OIL LIMITED -,COMPAGNIE PETROLIERE IMPERIALE LTEE, Active, 102465879RC0001, 0296465
182,IMPERIAL OIL RESOURCES N.W.T. LIMITED,, Active, 101688265RC0001, 1849204
183,INNERGEX ÉNERGIE RENOUVELABLE INC.,INNERGEX RENEWABLE ENERGY INC., Active, 858080286RC0002, 8028788
184,Intact Financial Corporation,Intact Corporation financière, Active, 891059693RC0004, 4273974
185,S & K Mining Data Services Inc.,, Active, 760286088RC0001, 10726095
186,KINAXIS INC.,, Active, 100715580RC0003, 8826595
187,Kinaxis Holdings Inc.,, Active, 732445903RC0001, 13968413
188,Labrador Iron Ore Royalty Corporation,, Active, 816291660RC0002, 7501854
189,LifeWorks Innovations Inc.,, Active, 830417929RC0001, 6676928
190,KÄNA LIFEWORKS INC.,, Active, 713351682RC0001, 11217747
191,Linamar Agriculture Inc.,, Active, 103760849RC0002, 10611638
192,LOBLAW COMPANIES LIMITED,LES COMPAGNIES LOBLAW LIMITEE, Active, 103363693RC0001, 0126764
193,Lundin Mining Corporation,, Active, 898434881RC0003, 4437365
194,MAPLE LEAF FOODS INC.,LES ALIMENTS MAPLE LEAF INC., Active, 898324041RC0003, 4544668
195,METHANEX CORPORATION,, Active, 103972048RC0001, 2802520
196,Methanex Canada Holdings Inc.,, Active, 838150985RC0001, 8989729
197,Methanex Global Corporation,, Active, 818249245RC0001, 8473145
