Filing Date,Termination Date,Organization,Client Name,Designated Filer,Government Department Lobbied,Prescribed Provincial Entity Lobbied,Subject Matter of Lobbying,Registration Number,Type of Lobbyist,Lobbyists,Type of Registration,Registration Status,View
2022-09-01,-,P3 Capital Partners Inc.,Covenant Care,Doug Horner,"Alberta Health, Alberta Seniors and Housing, Alberta Advanced Education",-,Seniors issues,CL-12474-03,Consultant Lobbyist,"Monica Barclay, Jeff Johnson, Doug Horner",Notice of Change,Archived,View 
2022-09-01,-,Alberta Counsel,Alberta Canola Producers Commission,Jonathon Wescott,"Alberta Environment and Parks, Executive Council, Alberta Jobs, Economy and Innovation, Service Alberta, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Education, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office",Agriculture Financial Services Corporation,"Climate, Agriculture, K-12 Education",CL-12881-02,Consultant Lobbyist,"Votham Anastasiadis, Sydney McHale, Heather Feldbusch, Jonathon Wescott, Aaron Singleton, Aileen Burke, Zack Ziolkowski, James Johnson, Shayne Saskiw, Pascal Ryffel",Notice of Change,Archived,View 
2022-09-01,2022-10-03,Crestview Strategy,Alberta Medical Association,Chad Rogers,"Alberta Health, Alberta Legislative Assembly",-,Health,CL-11660-14,Consultant Lobbyist,"Mira Ahmad, Frank Parker, Nour Fahmy",Notice of Change,Terminated,View 
2022-08-31,-,Alberta Counsel,Alberta Canola Producers Commission,Jonathon Wescott,"Alberta Environment and Parks, Service Alberta, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Education, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office",Agriculture Financial Services Corporation,"Climate, Agriculture, K-12 Education",CL-12881-01,Consultant Lobbyist,"Pascal Ryffel, Shayne Saskiw, James Johnson, Zack Ziolkowski, Aileen Burke, Aaron Singleton, Jonathon Wescott, Heather Feldbusch, Sydney McHale, Votham Anastasiadis",Initial Return,Archived,View 
2022-08-30,-,Chevron Canada Limited,-,Chris Mazerolle,"Alberta Environment and Parks, Alberta Energy, Premier's Office",Alberta Energy Regulator,"Energy, Climate, Environment",OL-10005-29,Organization Lobbyist,"Chris Mazerolle, Sherry Sian, Matthew Stevens, Doug Connon, Emily Curthoys, Beverley Keyes, Deidre Reid, Stephen Edison",Notice of Change,Archived,View 
2022-08-30,-,The Capital Hill Group,VidCruiter,David Angus,"Executive Council, Service Alberta, Alberta Jobs, Economy and Innovation",-,"Employment and Training, Procurement, Science and Technology",CL-12879-01,Consultant Lobbyist,Erin Iverson,Initial Return,Archived,View 
2022-08-30,-,Canadian Medical Association,-,Timothy Smith,"Alberta Labour and Immigration, Executive Council, Alberta Health, Alberta Justice and Solicitor General, Alberta Legislative Assembly, Premier's Office",-,"Health, Justice and Law Enforcement",OL-10605-22,Organization Lobbyist,"Louise Sweatman, Dr. Alika Lafontaine, Nick Lecuyer, Joseph Mayer, Kristin Smith, Pascal Charron, Dr. Jeff Blackmer, Nick Farinaccio, Anick Losier, Tim Smith, Luce Lavoie, John Feeley, Audrey Grandmaison, Stephen Vail, Cecile Bensimon, Aline Gagnon, Owen Adams, Julie Aung, Manon Abud, Azin Peyrow, Jennifer Kitts, Caroline Bouchard, Ashley Chisholm, Dr. Ann Collins, Philippe Ha, Jasmine Neeson, Marie-Claire Bedard, Dr. Katharine Smart, Eric Lewis, Elena Gabrysz, Karey Shuhendler, Romeo Tello, Renee Belanger",Notice of Change,Archived,View 
2022-08-30,-,The Capital Hill Group,Red Hat Inc.,David Angus,"Executive Council, Service Alberta, Alberta Jobs, Economy and Innovation",Invest Alberta Corporation,"Procurement, Science and Technology",CL-12878-01,Consultant Lobbyist,Erin Iverson,Initial Return,Archived,View 
2022-08-29,-,Sun Life Financial,-,Kevin Strain,"Alberta Jobs, Economy and Innovation, Alberta Health, Alberta Treasury Board and Finance, Premier's Office","Alberta Health Services, Alberta Innovates","Insurance, Health, Banks and Other Financial Institutions",OL-10943-18,Organization Lobbyist,"Ali Salam, Jessica Brcko, Victor Gomez, Alanna Boyd, Marianne Nguyen",Notice of Change,Archived,View 
2022-08-25,-,Association of Counselling Therapy of Alberta,-,Linda Sahli,"Alberta Health, Alberta Legislative Assembly",-,Health,OL-12682-02,Organization Lobbyist,"Laura Hahn, Linda Sahli, Nicole Imgrund",Notice of Change,Archived,View 
2022-08-25,-,Alberta Counsel,Health Cities,Jonathon Wescott,"Alberta Jobs, Economy and Innovation, Service Alberta, Alberta Health, Alberta Seniors and Housing, Alberta Advanced Education, Premier's Office",Alberta Health Services,Economic Development,CL-12275-06,Consultant Lobbyist,"Votham Anastasiadis, Sydney McHale, Aaron Singleton, Aileen Burke, Alexandra Carlile, Zack Ziolkowski, James Johnson, Pascal Ryffel, Shayne Saskiw, Jonathon Wescott",Notice of Change,Archived,View 
2022-08-24,-,TC Energy Corporation,-,Francois Poirier,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Energy, Executive Council, Alberta Jobs, Economy and Innovation, Service Alberta, Alberta Municipal Affairs, Alberta Indigenous Relations, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office","Alberta Utilities Commission, Alberta Health Services, Alberta Innovates, Alberta Energy Regulator, Alberta Electric System Operator, Market Surveillance Administrator","Energy, Health, Procurement, Environment, Municipal Affairs, Indigenous Relations, Wildlife, Transportation",OL-10499-53,Organization Lobbyist,"Dave Forestell, Riley Baldwin, Keith Nelson, Michael Schmaltz, Patrick Keys, Robert Tarvydas, Kirk Wasylik, Wendell Klassen, Ana Maria Radu, Mel Garner, Timothy Lam, Stefan Skocylas, Wade Pruett, Greg Grant, Graeme Wright, Lindsay MacKay, Luke Meredith, Julia Jensen, Duane Alexander, Christopher Vivone, Fareen Sunderji, Kristin Anderson, Holly Waldorf, Tisha Homer, Alex Harris, Blaine Trout, Francois Poirier, Mark Thompson, Richard Prior, Jay White, Ken Brink, Jawad Masud, Bevin Wirzba, Joe Zhou, Mark Blundell, Sheldon Good, Patrick Muttart, Ryan Laverty, Corey Hessen, Karla Palardy, Andrew Isherwood, Omar Khayum",Notice of Change,Archived,View 
2022-08-24,-,"Amazon Canada Fulfillment Services, ULC",-,Sumegha Kumar,"Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Alberta Transportation, Alberta Legislative Assembly, Premier's Office",-,"Arts and Culture, Transportation, Economic Development",OL-11094-10,Organization Lobbyist,"James Maunder, Allison Gifford, Thoren Hudyma, Brook Simpson",Semi-Annual Renewal,Archived,View 
2022-08-24,-,Investment Industry Association of Canada,-,Laura Paglia,-,Alberta Securities Commission,Banks and Other Financial Institutions,OL-10315-19,Organization Lobbyist,"Laura Paglia, Todd Evans",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,County of Grande Prairie,Jonathon Wescott,"Alberta Infrastructure, Alberta Municipal Affairs, Alberta Justice and Solicitor General, Alberta Culture and Status of Women, Alberta Health, Alberta Legislative Assembly, Alberta Transportation, Premier's Office",Alberta Health Services,"Arts and Culture, Health, Justice and Law Enforcement, Transportation",CL-11549-17,Consultant Lobbyist,"Heather Fernbusch, Votham Anastasiadis, Aileen Burke, Alexandra Carlile, Zack Ziolowski, Jonathon Wescott, Pascal Ryffel, Shayne Saskiw, James Johnson, Aaron Singleton, Sydney McHale",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Wood's Homes,Jonathon Wescott,"Alberta Infrastructure, Alberta Children’s Services, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Alberta Seniors and Housing, Premier's Office",-,"Children’s Services, Housing",CL-12282-06,Consultant Lobbyist,"Alexandra Carlile, James Johnson, Pascal Ryffel, Aaron Singleton, Zack Ziolkowski, Shayne Saskiw, Jonathon Wescott, Votham Anastasiadis, Aileen Burke, Sydney McHale, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Respiratory Homecare Association of Alberta (RHCAA),Jonathon Wescott,"Alberta Labour and Immigration, Executive Council, Alberta Health, Alberta Legislative Assembly, Alberta Transportation, Premier's Office",Alberta Health Services,"Health, Labour Relations",CL-11038-11,Consultant Lobbyist,"Alexandra Carlile, Pascal Ryffel, Jonathon Wescott, Shayne Saskiw, Zack Ziolkowski, James Johnson, Aileen Burke, Sydney McHale, Aaron Singleton",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,The Stollery Children's Hospital Foundation,Jonathon Wescott,"Alberta Infrastructure, Alberta Indigenous Relations, Alberta Jobs, Economy and Innovation, Alberta Health, Alberta Legislative Assembly, Premier's Office, Alberta Advanced Education",-,Health,CL-10223-16,Consultant Lobbyist,"James Johnson, Zack Ziolkowski, Lindsay Lahey, Jonathon Wescott, Shayne Saskiw, Pascal Ryffel, Aaron Singleton, Alexandra Carlile, Aileen Burke, Sydney McHale, Votham Anastasiadis",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Westerkirk Capital Inc.,Jonathon Wescott,"Alberta Municipal Affairs, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Legislative Assembly, Alberta Transportation, Premier's Office",-,Economic Development,CL-12330-05,Consultant Lobbyist,"Jonathon Wescott, James Johnson, Zack Ziolkowski, Aaron Singleton, Shayne Saskiw, Pascal Ryffel, Alexandra Carlile, Sydney McHale, Aileen Burke, Al Kemmere, Votham Anastasiadis, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Edmonton Minor Soccer Association,Jonathon Wescott,"Alberta Infrastructure, Alberta Community and Social Services, Alberta Culture and Status of Women, Alberta Legislative Assembly, Premier's Office",-,Recreation,CL-11205-07,Consultant Lobbyist,"Heather Fernbusch, James Johnson, Aileen Burke, Sydney McHale, Alexandra Carlile, Aaron Singleton, Jonathon Wescott, Pascal Ryffel, Shayne Saskiw, Zack Ziolkowski, Votham Anastasiadis",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Council of Alberta University Students,Jonathon Wescott,"Alberta Labour and Immigration, Alberta Indigenous Relations, Alberta Health, Alberta Legislative Assembly, Alberta Advanced Education, Premier's Office",Alberta Health Services,"Employment and Training, Health, Post-secondary Education, Indigenous Relations",CL-11651-13,Consultant Lobbyist,"Alexandra Carlile, Jonathon Wescott, Zack Ziolkowski, Aaron Singleton, Shayne Saskiw, Pascal Ryffel, Aileen Burke, Sydney McHale, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Doula Association of Alberta,Jonathon Wescott,"Alberta Health, Alberta Legislative Assembly, Premier's Office",Alberta Health Services,Health,CL-12324-03,Consultant Lobbyist,"James Johnson, Jonathon Wescott, Shayne Saskiw, Pascal Ryffel, Sydney McHale, Aileen Burke, Aaron Singleton, Votham Anastasiadis, Zack Ziolkowski, Alexandra Carlile, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Edmonton Chamber of Voluntary Organizations (ECVO),Jonathon Wescott,"Alberta Community and Social Services, Service Alberta, Alberta Culture and Status of Women, Alberta Legislative Assembly, Premier's Office",-,Social programs,CL-12485-02,Consultant Lobbyist,"Heather Fernbusch, Jonathon Wescott, Shayne Saskiw, Pascal Ryffel, James Johnson, Votham Anastasiadis, Alexandra Carlile, Zack Ziolkowski, Aileen Burke, Aaron Singleton",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Optiom Inc.,Jonathon Wescott,"Executive Council, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office","Alberta Insurance Council, Automobile Insurance Rate Board",Insurance,CL-12285-03,Consultant Lobbyist,"Jonathon Wescott, Shayne Saskiw, Pascal Ryffel, Zack Ziolkowski, James Johnson, Aileen Burke, Votham Anastasiadis, Sydney McHale, Alexandra Carlile, Heather Fernbusch, Aaron Singleton",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Alberta Association of Agricultural Societies,Jonathon Wescott,"Alberta Municipal Affairs, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Premier's Office",-,Agriculture,CL-12371-04,Consultant Lobbyist,"Heather Fernbusch, Votham Anastasiadis, James Johnson, Zack Ziolkowski, Pascal Ryffel, Shayne Saskiw, Jonathon Wescott, Alexandra Carlile, Sydney McHale, Aileen Burke, Aaron Singleton",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Moose Lake Pentecostal Youth Camp Society,Jonathon Wescott,"Alberta Infrastructure, Alberta Children’s Services, Alberta Municipal Affairs, Alberta Culture and Status of Women, Alberta Legislative Assembly, Premier's Office",-,Land Use,CL-12508-03,Consultant Lobbyist,"Aileen Burke, Jonathon Wescott, Shayne Saskiw, James Johnson, Alexandra Carlile, Pascal Ryffel, Zack Ziolkowski, Aaron Singleton, Sydney McHale, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Mountain Ash Limited Partnership,Jonathon Wescott,Alberta Environment and Parks,-,Economic Development,CL-12378-05,Consultant Lobbyist,"Jonathon Wescott, Shayne Saskiw, Zack Ziolkowski, Alexandra Carlile, Pascal Ryffel, James Johnson, Votham Anastasiadis, Aileen Burke, Sydney McHale, Aaron Singleton, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Metis Crossing Ventures Ltd.,Jonathon Wescott,"Alberta Infrastructure, Alberta Indigenous Relations, Alberta Culture and Status of Women, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Premier's Office",Alberta Indigenous Opportunities Corporation,Infrastructure,CL-12536-04,Consultant Lobbyist,"Sydney McHale, Aileen Burke, Aaron Singleton, Jonathon Wescott, Shayne Saskiw, Pascal Ryffel, James Johnson, Votham Anastasiadis, Zack Ziolkowski, Alexandra Carlile, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Metis Nation of Alberta,Jonathon Wescott,"Alberta Municipal Affairs, Alberta Indigenous Relations, Alberta Legislative Assembly, Premier's Office",Alberta Indigenous Opportunities Corporation,Indigenous Relations,CL-11670-12,Consultant Lobbyist,"Votham Anastasiadis, Sydney McHale, Aileen Burke, Alexandra Carlile, Zack Ziolkowski, Jonathon Wescott, Pascal Ryffel, Shayne Saskiw, Aaron Singleton, James Johnson, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Lac La Biche County,Jonathon Wescott,"Alberta Environment and Parks, Alberta Labour and Immigration, Alberta Infrastructure, Alberta Municipal Affairs, Alberta Jobs, Economy and Innovation, Service Alberta, Alberta Community and Social Services, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Culture and Status of Women, Alberta Health, Alberta Transportation, Alberta Advanced Education, Alberta Seniors and Housing",-,"Health, Tourism, Environment, Post-secondary Education, Rural Development, Municipal Affairs, Transportation, Infrastructure, Housing",CL-10209-23,Consultant Lobbyist,"Heather Fernbusch, James Johnson, Lindsay Lahey, Leo Piquette, Shayne Saskiw, Jonathon Wescott, Pascal Ryffel, Zack Ziolkowski, Aaron Singleton, Aileen Burke, Sydney McHale",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,PolicyWise for Children & Families,Jonathon Wescott,"Alberta Children’s Services, Alberta Community and Social Services, Service Alberta, Alberta Health, Alberta Justice and Solicitor General, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,Children’s Services,CL-12764-02,Consultant Lobbyist,"Shayne Saskiw, Pascal Ryffel, Zack Ziolkowski, Votham Anastasiadis, Sydney McHale, Jonathon Wescott, James Johnson, Aileen Burke, Aaron Singleton, Alexandra Carlile, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Municipal District of Bighorn,Jonathon Wescott,"Alberta Environment and Parks, Alberta Municipal Affairs",-,Land Use,CL-12686-02,Consultant Lobbyist,"Heather Fernbusch, Jonathon Wescott, Shayne Saskiw, James Johnson, Zack Ziolkowski, Pascal Ryffel, Aileen Burke, Votham Anastasiadis, Aaron Singleton, Alexandra Carlile, Sydney McHale",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Insurance Brokers Association of Alberta (IBAA),Jonathon Wescott,"Alberta Labour and Immigration, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Justice and Solicitor General, Alberta Treasury Board and Finance, Premier's Office",Automobile Insurance Rate Board,"Insurance, Banks and Other Financial Institutions",CL-10418-22,Consultant Lobbyist,"Votham Anastasiadis, Aileen Burke, Heather Fernbusch, Shayne Saskiw, Jonathon Wescott, Pascal Ryffel, Zack Ziolkowski, James Johnson, Aaron Singleton, Alexandra Carlile, Sydney McHale",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Lakeland College,Jonathon Wescott,"Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Alberta Advanced Education, Premier's Office",-,Post-secondary Education,CL-12075-09,Consultant Lobbyist,"Sydney McHale, Aaron Singleton, Alexandra Carlile, Zack Ziolkowski, Pascal Ryffel, Shayne Saskiw, Jonathon Wescott, Aileen Burke, Votham Anastasiadis, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-22,-,Proof Inc.,StubHub Inc.,Bruce MacLellan,"Service Alberta, Executive Council, Premier's Office",-,Consumer Issues,CL-11367-05,Consultant Lobbyist,Chris McCluskey,Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Village of Marwayne,Jonathon Wescott,Alberta Municipal Affairs,-,Municipal Affairs,CL-12649-02,Consultant Lobbyist,"Heather Fernbusch, Aileen Burke, Alexandra Carlile, Aaron Singleton, Jonathon Wescott, Shayne Saskiw, Pascal Ryffel, James Johnson, Zack Ziolkowski, Votham Anastasiadis, Sydney McHale",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Motor Dealers' Association of Alberta,Jonathon Wescott,"Service Alberta, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office",Alberta Motor Vehicle Industry Council,Economic Development,CL-12146-07,Consultant Lobbyist,"Aileen Burke, Zack Ziolkowski, Jonathon Wescott, James Johnson, Shayne Saskiw, Alexandra Carlile, Sydney McHale, Aaron Singleton, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Northern Sunrise County,Jonathon Wescott,"Alberta Infrastructure, Alberta Municipal Affairs, Alberta Transportation, Alberta Legislative Assembly, Premier's Office",-,Transportation,CL-12542-03,Consultant Lobbyist,"Heather Fernbusch, Jonathon Wescott, Shayne Saskiw, Pascal Ryffel, Zack Ziolkowski, Aileen Burke, Votham Anastasiadis, James Johnson, Alexandra Carlile, Aaron Singleton, Al Kemmere",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Nurse Practitioner Association of Alberta (NPAA),Jonathon Wescott,"Alberta Labour and Immigration, Alberta Health, Premier's Office, Alberta Advanced Education","Labour Relations Board, Alberta Health Services","Health, Post-secondary Education, Labour Relations",CL-11312-09,Consultant Lobbyist,"Zack Ziolowski, Jonathon Wescott, Shayne Saskiw, Pascal Ryffel, James Johnson, Aaron Singleton, Votham Anastasiadis, Alexandra Carlile, Aileen Burke, Sydney McHale",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Food Banks Alberta,Jonathon Wescott,"Alberta Community and Social Services, Alberta Municipal Affairs, Alberta Culture and Status of Women, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,Food,CL-12617-02,Consultant Lobbyist,"Zack Ziolkowski, Aileen Burke, Sydney McHale, Jonathon Wescott, Shayne Saskiw, Pascal Ryffel, James Johnson, Votham Anastasiadis, Alexandra Carlile, Aaron Singleton, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Municipal District of Lesser Slave River No. 124,Jonathon Wescott,"Alberta Infrastructure, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Alberta Transportation, Alberta Legislative Assembly, Premier's Office",-,Infrastructure,CL-12836-02,Consultant Lobbyist,"Pascal Ryffel, James Johnson, Zack Ziolkowski, Votham Anastasiadis, Aaron Singleton, Alexandra Carlile, Shayne Saskiw, Jonathon Wescott, Aileen Burke, Heather Feldbusch, Sydney McHale, Al Kemmere",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Municipal District of Opportunity,Jonathon Wescott,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Energy, Alberta Municipal Affairs, Alberta Indigenous Relations, Alberta Jobs, Economy and Innovation, Alberta Justice and Solicitor General, Alberta Culture and Status of Women, Alberta Education, Alberta Health, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office, Alberta Seniors and Housing",Alberta Health Services,"Taxes and Finance, Health, Municipal Affairs, Transportation, Economic Development, Infrastructure",CL-11066-16,Consultant Lobbyist,"Aaron Singleton, Alexandra Carlile, Heather Fernbusch, Shayne Saskiw, Pascal Ryffel, Zack Ziolkowski, Jon Wescott, Leo Piquette, Votham Anastasiadis, James Johnson, Aileen Burke, Sydney McHale",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,City of Wetaskiwin,Jonathon Wescott,"Alberta Infrastructure, Alberta Children’s Services, Alberta Municipal Affairs, Alberta Community and Social Services, Alberta Indigenous Relations, Alberta Justice and Solicitor General, Alberta Health, Alberta Culture and Status of Women, Premier's Office, Alberta Seniors and Housing",-,"Justice and Law Enforcement, Infrastructure, Housing",CL-11946-10,Consultant Lobbyist,"Pascal Ryffel, Sydney McHale, Votham Anastasiadis, Aileen Burke, Alexandra Carlile, Aaron Singleton, Zack Ziolkowski, James Johnson, Shayne Saskiw, Jonathon Wescott, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Metis Nation of Alberta Association Fort McMurray Local Council 1935,Jonathon Wescott,"Alberta Environment and Parks, Alberta Legislative Assembly, Premier's Office",-,Environment,CL-12719-02,Consultant Lobbyist,"Shayne Saskiw, Jonathon Wescott, Pascal Ryffel, Guy Boutiler, Votham Anastasiadis, Alexandra Carlile, James Johnson, Zack Ziolkowski, Aileen Burke, Aaron Singleton, Sydney McHale, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-22,-,Alberta Counsel,Edmonton Destination Marketing Hotels Ltd.,Jonathon Wescott,"Alberta Labour and Immigration, Alberta Municipal Affairs, Alberta Culture and Status of Women, Alberta Health, Alberta Legislative Assembly, Premier's Office, Alberta Seniors and Housing",Alberta Health Services,"Health, Tourism, Labour Relations",CL-10995-14,Consultant Lobbyist,"Sydney McHale, Alexandra Carlile, James Johnson, Shayne Saskiw, Jonathon Wescott, Pascal Ryffel, Zack Ziolkowski, Aaron Singleton, Aileen Burke, Votham Anastasiadis, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-20,2022-11-09,Wellington Advocacy Inc.,ThoughtWire,Nick Koolsbergen,"Alberta Jobs, Economy and Innovation, Service Alberta, Alberta Health, Alberta Legislative Assembly, Premier's Office","Alberta Health Services, Invest Alberta Corporation",Science and Technology,CL-12862-01,Consultant Lobbyist,"Peter Csillag, Matt de Jong, Sam Duncan",Initial Return,Terminated,View 
2022-08-17,-,Alberta Seniors & Community Housing Association (ASCHA),-,Irene Martin-Lindsay,"Alberta Infrastructure, Alberta Community and Social Services, Alberta Municipal Affairs, Alberta Health, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Alberta Seniors and Housing",Alberta Health Services,Housing,OL-10287-14,Organization Lobbyist,"Robin James, Arlene Adamson, Melodie Stol, Winston Delorme, Irene Martin-Lindsay, Marta Szylko, Jenny Grant",Semi-Annual Renewal,Archived,View 
2022-08-17,-,Alberta Counsel,Town of Bonnyville,Jonathon Wescott,"Alberta Infrastructure, Alberta Municipal Affairs, Alberta Indigenous Relations, Alberta Jobs, Economy and Innovation, Alberta Justice and Solicitor General, Alberta Health, Alberta Transportation",-,"Health, Rural Development, Transportation",CL-10575-24,Consultant Lobbyist,"Leo Piquette, Shayne Saskiw, Jonathon Wescott, Zack Ziolkowski, Aaron Singleton, Alexandra Carlile, James Johnson, Pascal Ryffel, Aileen Burke, Sydney McHale, Votham Anastasiadis, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-17,-,Alberta Counsel,Alberta Teachers Association,Jonathon Wescott,"Alberta Infrastructure, Alberta Culture and Status of Women, Alberta Health, Alberta Education, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,"Budget, Pensions, K-12 Education",CL-11067-15,Consultant Lobbyist,"Aileen Burke, Zack Ziolkowski, Jonathon Wescott, Shayne Saskiw, Pascal Ryffel, James Johnson, Sydney McHale, Aaron Singleton, Votham Anastasiadis, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-17,-,Alberta Counsel,Alberta Bottle Depot Association,Jonathon Wescott,"Alberta Environment and Parks, Alberta Municipal Affairs, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office","Alberta Gaming, Liquor and Cannabis Commission","Environment, Cannabis",CL-11278-10,Consultant Lobbyist,"Sydney McHale, Votham Anastasiadis, Aileen Burke, Shayne Saskiw, Jon Wescott, Pascal Ryffel, Zack Ziolkowski, Aaron Singleton, Alexandra Carlile, James Johnson, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-17,-,Alberta Counsel,Alberta Association of Professional Paralegals,Jonathon Wescott,"Alberta Justice and Solicitor General, Alberta Legislative Assembly, Premier's Office",-,Legal System,CL-12678-02,Consultant Lobbyist,"Heather Fernbusch, Votham Anastasiadis, Zack Ziolkowski, James Johnson, Shayne Saskiw, Jonathon Wescott, Alexandra Carlile, Sydney McHale, Aaron Singleton, Aileen Burke, Pascal Ryffel",Notice of Change,Archived,View 
2022-08-17,-,Alberta Counsel,ALIGN Association of Community Services,Jonathon Wescott,"Alberta Labour and Immigration, Alberta Children’s Services, Alberta Health, Alberta Legislative Assembly, Premier's Office",-,"Children’s Services, Trades and Occupations",CL-11140-11,Consultant Lobbyist,"Votham Anastasiadis, Sydney McHale, Jonathon Wescott, Aaron Singleton, James Johnson, Alexandra Carlile, Aileen Burke, Alexandra Carlile, Zack Ziolkowski, Pascal Ryffel, Shayne Saskiw, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-17,-,Alberta Counsel,Alberta Funeral Service Association,Jonathon Wescott,"Alberta Justice and Solicitor General, Alberta Legislative Assembly, Premier's Office",-,Justice and Law Enforcement,CL-12729-02,Consultant Lobbyist,"Aaron Singleton, Alexandra Carlile, Jonathon Wescott, Shayne Saskiw, Pascal Ryffel, James Johnson, Aileen Burke, Votham Anastasiadis, Zack Ziolkowski, Sydney McHale, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-17,-,Alberta Counsel,Alberta Bilingual Municipalities Association,Jonathon Wescott,"Alberta Municipal Affairs, Alberta Culture and Status of Women, Alberta Legislative Assembly, Premier's Office",-,Municipal Affairs,CL-12684-02,Consultant Lobbyist,"Al Kemmere, Alexandra Carlile, Aaron Singleton, Zack Ziolkowski, Pascal Ryffel, Shayne Saskiw, Sydney McHale, Votham Anastasiadis, Aileen Burke, James Johnson, Jonathon Wescott, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-17,-,Alberta Counsel,Alberta Irrigation Districts Association (AIDA),Jonathon Wescott,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Municipal Affairs, Alberta Jobs, Economy and Innovation, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Alberta Transportation, Premier's Office",-,"Agriculture, Environment",CL-11344-15,Consultant Lobbyist,"Aileen Burke, James Johnson, Voltham Anastasiadis, Shayne Saskiw, Zack Ziolkowski, Pascal Ryffel, Jonathon Wescott, Aaron Singleton, Alexandra Carlile, Sydney McHale, Heather Fernbusch",Notice of Change,Archived,View 
